line_id;variant_id;sub_assembly_ref;sub_assembly_designation;component_ref;designation;quantity;unit;supplier;unit_cost_eur
L00001;A;SA-0101;carbody shell;SHELL-UNDERFRAME;Underframe, welded aluminium;1;units;Atelier Lys Métal;48200,00
L00002;A;SA-0101;carbody shell;SHELL-SIDEWALL;Sidewall panel, extruded ;2;u;Atelier Lys Métal ;17650.00
L00003;A;SA-0101;carbody shell;SHELL-ROOF;Roof assembly;1;units;Atelier Lys Métal;15400,00
L00004;A;SA-0101;carbody shell;SHELL-ENDWALL;Endwall frame;2;u;Atelier Lys Métal;6900,00
L00005;A;SA-0101;carbody shell;SHELL-BRACKET-KIT;Equipment bracket kit;4;pcs;Atelier Lys Métal;412.50
L00006;A;SA-0101;carbody shell;SHELL-SEAL;carbody joint seal;24;pcs;Artois Polymères;18,40
L00007;A;SA-0104;HVAC unit ;HVAC-COMPRESSOR;Scroll compressor;2;pcs;Scaldis Thermique ;4380,00
L00008;A;SA-0104;HVAC unit ;HVAC-CONDENSER;condenser coil;2;units;Scaldis Thermique ;2140,00
L00009;A;SA-0104;HVAC unit ;HVAC-EVAPORATOR;Evaporator coil;2;units;Scaldis Thermique;1960,00
L00010;A;SA-0104;HVAC unit ;HVAC-FAN-SUPPLY;Supply air fan ;4;pcs;SCALDIS THERMIQUE;735.00
L00011;A;SA-0104;HVAC unit ;HVAC-FILTER;Fresh air filter G4;8;u;scaldis thermique;38,00
L00012;A;SA-0104;HVAC unit ;HVAC-DUCT-MAIN;Main air duct;18,5;m;ARTOIS POLYMÈRES;96.00
L00013;A;SA-0104;HVAC unit ;HVAC-CTRL-BOARD;HVAC control board;1;pcs;deûle électronique;1820.00
L00014;A;SA-0104;HVAC unit ;HVAC-TEMP-SENSOR;SALOON TEMPERATURE SENSOR;6;pcs;Deûle Électronique;54.00
L00015;A;SA-0104;HVAC unit ;HVAC-GRILLE-12;Air outlet grille type 12 ;16;u;Artois Polymères ;42,00
L00016;A;SA-0104;HVAC unit ;HVAC-GRILLE-1L;AIR OUTLET GRILLE, LEFT-HAND;2;pcs;Artois Polymères;46.50
L00017;A;SA-0104;HVAC unit ;HVAC-REFRIGERANT;Refrigerant R-513A charge;6,5;kg;Scaldis Thermique;31,00
L00018;A;SA-0104;HVAC unit ; Bgi-2031;bolt set m8, zinc-nickel;24;u;Nordrail Composants;0,85
L00019;A;SA-0105;Braking unit;BRK-COMPRESSOR;Oil-free air compressor;1;units;Sambre Freinage;18700.00
L00020;A;SA-0105;Braking unit;BRK-AIR-TANK;Air reservoir 100 l;2;units;Sambre Freinage;1240,00
L00021;A;SA-0105;Braking unit;BRK-CTRL-VALVE;Brake control valve;4;u;Sambre Freinage;2680,00
L00022;A;SA-0105;Braking unit;BRK-PIPE-STEEL;Brake pipe, stainless;32,0;m;Sambre Freinage;28.50
L00023;A;SA-0105;Braking unit;BRK-HOSE-FLEX;Flexible brake hose;8;pcs;Sambre Freinage;93,00
L00024;A;SA-0105;Braking unit;BRK-DRYER;air dryer;1;units;Sambre Freinage;3150,00
L00025;A;SA-0105;Braking unit;BRK-PRESSURE-SENSOR;PRESSURE TRANSDUCER;6;pcs;Deûle Électronique;187.00
L00026;A;SA-0105;Braking unit;BRK-ECU;Brake electronic control unit ;1;units;Deûle Électronique;9800.00
L00027;A;SA-0105;Braking unit;BRK-PARKING-ACT;Parking brake actuator;2;pcs;Sambre Freinage;2260,00
L00028;A;SA-0105;Braking unit;BRK-BRACKET;Pipe support bracket ;12;units;ATELIER LYS MÉTAL;14,20
L00029;A;SA-0105;Braking unit;BGI-2O3I;Bolt set M8, zinc-nickel;36;pcs;Nordrail Composants ;0.85
L00030;A;SA-0106;gangway and couplers;GANG-BELLOWS;Gangway bellows;2;u;Artois Polymères;12400.00
L00031;A;SA-0106;gangway and couplers;GANG-FRAME;Gangway frame;2;pcs;Atelier Lys Métal;5350,00
L00032;A;SA-0106;gangway and couplers;GANG-BRIDGE-PLATE;Gangway bridge plate;2;pcs;Atelier Lys Métal;1980.00
L00033;A;SA-0106;gangway and couplers;GANG-SEAL-PROFILE;Gangway seal profile;14.4;m;Artois Polymères;22,80
L00034;A;SA-0106;gangway and couplers;COUP-SEMI-PERM;Semi-permanent coupler;2;units;Ferroval Systèmes;15800,00
L00035;A;SA-0106;gangway and couplers;COUP-DRAFT-GEAR;Draft gear;2;pcs;Ferroval Systèmes;6240,00
L00036;A;SA-0106;gangway and couplers;COUP-ELEC-HEAD;Electrical coupler head;2;pcs;hainaut câblage;4470.00
L00037;A;SA-0106;gangway and couplers;COUP-JUMPER-CABLE;INTER-CAR JUMPER CABLE;9,6;m;hainaut câblage;148.00
L00038;A;SA-0106;gangway and couplers;GANG-HANDRAIL;Gangway handrail;4;pcs;Atelier Lys Métal;215,00
L00039;A;SA-0106;gangway and couplers;DOOR-SEAL-O;Gangway door seal, outer;4;u;Artois Polymères;81,00
L00040;A;SA-0106;gangway and couplers;BGI-2031;Bolt set M8, zinc-nickel;48;pcs;NORDRAIL COMPOSANTS;0,85
L00041;A;SA-0102;Trailer bogie ;BOGIE-FRAME;Trailer bogie frame;1;pcs;Ferroval Systèmes;26800.00
L00042;A;SA-0102;Trailer bogie ;BOGIE-WHEELSET;Wheelset, 840 mm;2;pcs;Ferroval Systèmes;11250,00
L00043;A;SA-0102;Trailer bogie ;BOGIE-PRIMARY-SUSP;Primary suspension spring set;4;u;FERROVAL SYSTÈMES;1340.00
L00044;A;SA-0102;Trailer bogie ;BOGlE-AIRSPRING;Secondary air spring ;2;units;Artois Polymères;2875,00
L00045;A;SA-0102;Trailer bogie ;BOGIE-BRAKE-CALIPER;BRAKE CALIPER UNIT;4;pcs;Sambre Freinage;3120.00
L00046;A;SA-0102;Trailer bogie ;BOGIE-DAMPER;Hydraulic damper ;8;units;Ferroval Systèmes ;486,00
L00047;A;SA-0102;Trailer bogie ;BOGIE-AXLEBOX;Axlebox with bearing;4;pcs;Ferroval Systèmes;2240.00
L00048;A;SA-0103;traction package;TRAC-CONV-MAIN;Main traction converter;1;u;TRACTELYS ÉNERGIE;96500,00
L00049;A;SA-0103;traction package;TRAC-TRANSFORMER;Main transformer 25 kV;1;pcs;Tractelys Énergie;74300.00
L00050;A;SA-0103;traction package;TRAC-MOTOR;Asynchronous traction motor ;4;units;Tractelys Énergie ;21800,00
L00051;A;SA-0103;traction package;TRAC-COOLING-UNIT;Converter cooling unit;1;units;Scaldis Thermique;8650,00
L00052;A;SA-0103;traction package;TRAC-HV-CABLE;High-voltage cable, shielded;42000;mm;HAINAUT CÂBLAGE;64,20
L00053;A;SA-0103;traction package;TRAC-CIRCUIT-BREAKER;Vacuum circuit breaker;1;pcs;Tractelys Énergie;13900,00
L00054;A;SA-0103;traction package;TRAC-EARTH-SWITCH;Earthing switch;1;units;Tractelys Énergie;4150,00
L00055;A;SA-0103;traction package;TRAC-CTRL-RACK;Traction control rack;1;u;Deûle Électronique;17200,00
L00056;A;SA-0103;traction package;TRAC-SENSOR-KIT;Speed and current sensor kit;4;pcs;Deûle Électronique;940,00
L00057;A;SA-0103;traction package;TRAC-BUSBAR;Copper busbar;6;u;hainaut câblage;215.00
L00058;A;SA-0103;traction package;TRAC-INSULATOR;Roof insulator;12;u;Tractelys Énergie ;178,00
L00059;A;SA-0103;traction package;TRAC-FIX-KIT;Traction equipment fixing kit;8;pcs;ATELIER LYS MÉTAL;96.50
L00060;A;SA-0107;Auxiliary converter;AUX-INVERTER;Auxiliary inverter 60 kVA;1;units;Tractelys Énergie;34600.00
L00061;A;SA-0107;Auxiliary converter;AUX-CAP-BANK;DC-link capacitor bank;2;pcs;Tractelys Énergie;2890,00
L00062;A;SA-0107;Auxiliary converter;AUX-BATTERY-CHARGER;Battery charger 24 V;1;pcs;Tractelys Énergie;7350.00
L00063;A;SA-0107;Auxiliary converter;AUX-BATTERY-PACK;NiCd battery pack;2;pcs;TRACTELYS ÉNERGIE;9120.00
L00064;A;SA-0107;Auxiliary converter;AUX-FILTER-CHOKE;Input filter choke;1;units;TRACTELYS ÉNERGIE;3480,00
L00065;A;SA-0107;Auxiliary converter;AUX-COOLING-FAN;Converter cooling fan;2;pcs;scaldis thermique;640,00
L00066;A;SA-0107;Auxiliary converter;AUX-CONTACTOR;POWER CONTACTOR;4;pcs;DEÛLE ÉLECTRONIQUE;385.00
L00067;A;SA-0107;Auxiliary converter;AUXFUSEBOX;Fuse box;1;u;deûle électronique;520.00
L00068;A;SA-0107;Auxiliary converter;AUX-LV-CABLE;low-voltage power cable;28;m;Hainaut Câblage;9,40
L00069;A;SA-0107;Auxiliary converter;AUX-ENCLOSURE;Underfloor enclosure;1;units;Atelier Lys Métal;4250.00
L00070;A;SA-0107;Auxiliary converter;BGI-2031;Bolt set M8, zinc-nickel;16;u;NORDRAIL COMPOSANTS;0,85
L00071;A;SA-0108;Interior lighting;LIGHT-LED-STRIP;LED light strip 1200 mm;24;units;Deûle Électronique;118,00
L00072;A;SA-0108;Interior lighting;LIGHT-DRIVER;LED driver;6;pcs;Deûle Électronique;96.00
L00073;A;SA-0108;Interior lighting;LIGHT-EMERG-UNIT;emergency lighting unit;4;units;Deûle Électronique;274,00
L00074;A;SA-0108;Interior lighting;LIGHT-DIFFUSER;Light diffuser;24;u;Artois Polymères;33,00
L00075;A;SA-0108;Interior lighting;LIGHT-CABLE;Lighting cable;45000;mm;Hainaut Câblage;3,20
L00076;A;SA-0108;Interior lighting;LIGHT-SWITCH-PANEL;Lighting switch panel ;1;units;DEÛLE ÉLECTRONIQUE;460,00
L00077;A;SA-0108;Interior lighting;LIGHT-SENSOR-AMB;Ambient light sensor ;2;units;Deûle Électronique;72,00
L00078;A;SA-0108;Interior lighting;LIGHT-READING-SPOT;Reading spot;12;pcs;Deûle Électronique;58.00
L00079;A;SA-0108;Interior lighting;LIGHT-CONNECTOR;Lighting connector;48;pcs;Hainaut Câblage;2,70
L00080;A;SA-0108;Interior lighting;LIGHT-CLIP;Cable clip;96;pcs;Nordrail Composants;0.35
L00081;A;SA-0109;Floor and wall panels;PANEL-FLOOR-PLY;Plywood floor panel;14;pcs;Artois Polymères;385.00
L00082;A;SA-0109;Floor and wall panels;PANEL-FLOOR-COVER;RUBBER FLOOR COVERING;38,5;m;Artois Polymères;58,00
L00083;A;SA-0109;Floor and wall panels;PANEL-WALL-GRP;GRP WALL PANEL;16;pcs;Artois Polymères;640.00
L00084;A;SA-0109;Floor and wall panels;PANEL-CEILING;CEILING PANEL;12;pcs;Artois Polymères;512.00
L00085;A;SA-0109;Floor and wall panels;PANEL-INSUL-MAT;Thermal insulation mat;22;kg;Artois Polymères ;7,60
L00086;A;SA-0109;Floor and wall panels;PANEL-ADHESIVE;Structural adhesive;7,5;kg;artois polymères;24,50
L00087;A;SA-0109;Floor and wall panels;PANEL-TRIM-PROFILE;Trim profile;52000;mm;Atelier Lys Métal;11,80
L00088;A;SA-0109;Floor and wall panels;PANEL-SCREW-KIT;PANEL SCREW KIT;40;pcs;Nordrail Composants;6.30
L00089;A;SA-0109;Floor and wall panels;SEAT-FIX-KIT-4471;Floor insert kit for seat fixing ;12;u;Nordrail Composants;19,90
L00090;A;SA-0109;Floor and wall panels;SEAT-RAIL-I;FLOOR RAIL, STAINLESS STEEL;6;pcs;Atelier Lys Métal;312.00
L00091;A;SA-0109;Floor and wall panels;HVAC-GRILLE-11;Wall ventilation grille type 11;4;pcs;Artois Polymères;39,00
L00092;A;SA-0111;Passenger door set;DOOR-LEAF;Sliding-plug door leaf;4;units;Portalys;3980,00
L00093;A;SA-0111;Passenger door set;DOOR-DRIVE-UNIT;Door drive unit ;2;pcs;Portalys;5240,00
L00094;A;SA-0111;Passenger door set;DOOR-GUIDE-RAIL;door guide rail;4;pcs;Portalys;612,00
L00095;A;SA-0111;Passenger door set;DOOR-SEAL;Door leaf seal ;8;u;Artois Polymères;74,00
L00096;A;SA-0111;Passenger door set;DOOR-OBSTACLE-SENSOR;obstacle detection sensor;4;u;Deûle Électronique ;328.00
L00097;A;SA-0111;Passenger door set;DOOR-CTRL-UNIT;Door control unit ;2;units;deûle électronique;2150,00
